name,positive,group_id
bagarre,0,1
usine,0,1
toux,0,1
sirène,0,1
spectacle,1,1
bombe,0,1
séisme,0,1
cascade,1,1
anniversaire,1,1
pet,0,1
applaudissement,1,1
embouteillage,0,1
théatre,1,1
manège,1,1
cloches,1,1
pleurs,0,1
chorale,1,1
musique,1,1
télévision,1,1
grêle,0,2
pluie,0,2
rot,0,2
chant,1,2
orchestre,1,2
construction,0,2
tonnerre,0,2
piano,1,2
concert,1,2
radio,1,2
perçeuse,0,2
secret,1,2
cigales,1,2
cri,0,2
scierie,0,2
éternuement,0,2
cheminée,1,2
chantier,0,2
bébé,1,2
chuchotement ,1,3
feu d'artifice,1,3
piscine,1,3
grincement,0,3
forêt,1,3
mer,1,3
icendie,0,3
fête,1,3
rire,1,3
orage,0,3
fontaine,1,3
autoroute,0,3
restaurant,1,3
plage,1,3
hurlement,0,3
tronçonneuse ,0,3
claque,0,3
alarme,0,3
mitrallette,0,3
explosion,0,4
kermesse,1,4
parc,1,4
gazouilli ,1,4
bar,1,4
pistolet,0,4
carnaval,1,4
marteau piqueur,0,4
berceuse,1,4
fusée,0,4
klaxon,0,4
ecole,1,4
ronflement,0,4
dispute,0,4
téléphone,1,4
réveil,0,4
bisous,1,4
fusillade,0,4
crash,0,4
